date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:15	25168/25168	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ed5822-6250%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-js-jquery.mCustomScrollbar.concat.min-1.0.28.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-js-jquery.mCustomScrollbar.concat.min-1.0.28.js	(from https://ngoc-thien.com/)
14:50:15	7583/7583	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ed5822-1d9f%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-js-jquery.fullscreen-0.4.1-0.4.1.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-js-jquery.fullscreen-0.4.1-0.4.1.js	(from https://ngoc-thien.com/)
14:50:16	41341/41341	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ed5822-a17d%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-js-ffwd_gallery_box-1.0.28.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-content-plugins-wd-facebook-feed-js-ffwd_gallery_box-1.0.28.js	(from https://ngoc-thien.com/)
14:50:16	824/824	---M-Z	200	added ('OK')	text/xml	date:Tue,%2024%20Oct%202017%2007:50:17%20GMT	https://ngoc-thien.com/xmlrpc.php?rsd	D:/WEB/webwedding/ngoc-thien.com/xmlrpc0db0.php	(from https://ngoc-thien.com/)
14:50:16	1045/1045	---M-Z	200	added ('OK')	text/xml	date:Tue,%2024%20Oct%202017%2007:50:17%20GMT	https://ngoc-thien.com/wp-includes/wlwmanifest.xml	D:/WEB/webwedding/ngoc-thien.com/wp-includes/wlwmanifest.xml	(from https://ngoc-thien.com/)
14:50:16	60921/60921	---M-Z	200	added ('OK')	application/json	date:Tue,%2024%20Oct%202017%2007:50:17%20GMT	https://ngoc-thien.com/wp-json/	D:/WEB/webwedding/ngoc-thien.com/wp-json/index.html	(from https://ngoc-thien.com/)
14:50:16	13188/13188	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	D:/WEB/webwedding/ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	(from https://ngoc-thien.com/)
14:50:17	394/394	---M--	200	added ('OK')	image/png	etag:%2259ed5b19-18a%22	https://ngoc-thien.com/wp-content/uploads/2017/10/cropped-icon-32x32.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/cropped-icon-32x32.png	(from https://ngoc-thien.com/)
14:50:17	1862/1862	---M--	200	added ('OK')	image/png	etag:%2259ed5b12-746%22	https://ngoc-thien.com/wp-content/uploads/2017/10/cropped-icon-192x192.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/cropped-icon-192x192.png	(from https://ngoc-thien.com/)
14:50:17	1720/1720	---M--	200	added ('OK')	image/png	etag:%2259ed5b16-6b8%22	https://ngoc-thien.com/wp-content/uploads/2017/10/cropped-icon-180x180.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/uploads/2017/10/cropped-icon-180x180.png	(from https://ngoc-thien.com/)
